codigo;ncm;descricao;anexo;segmento;item;convenios
01.057.00;8518;Alto-falantes, amplificadores elétricos de audiofrequência e partes;II;AUTOPEÇAS;57.0;
01.058.00;8518.50.00;Aparelhos elétricos de amplificação de som para veículos automotores;II;AUTOPEÇAS;58.0;
01.059.00;8519.81;Aparelhos de reprodução de som;II;AUTOPEÇAS;59.0;
01.060.00;8525.50.1 8525.60.10;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor);II;AUTOPEÇAS;60.0;
01.061.00;8527.21.00;Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis;II;AUTOPEÇAS;61.0;
01.062.00;8527.29.00;Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis;II;AUTOPEÇAS;62.0;
01.062.01;8521.90.90;Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores;II;AUTOPEÇAS;62.1;
01.063.00;8529.10.90;Antenas;II;AUTOPEÇAS;63.0;
01.064.00;8534.00;Circuitos impressos;II;AUTOPEÇAS;64.0;
01.065.00;8535.30 8536.50;Interruptores e seccionadores e comutadores;II;AUTOPEÇAS;65.0;
01.066.00;8536.10.00;Fusíveis e corta-circuitos de fusíveis;II;AUTOPEÇAS;66.0;
01.067.00;8536.20.00;Disjuntores;II;AUTOPEÇAS;67.0;
01.068.00;8536.4;Relés;II;AUTOPEÇAS;68.0;
01.069.00;8538;Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00;II;AUTOPEÇAS;69.0;
01.070.00;8539.10;Faróis e projetores, em unidades seladas;II;AUTOPEÇAS;70.0;
01.071.00;8539.2;Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos;II;AUTOPEÇAS;71.0;
01.072.00;8544.20.00;Cabos coaxiais e outros condutores elétricos coaxiais;II;AUTOPEÇAS;72.0;
01.073.00;8544.30.00;Jogos de fios para velas de ignição e outros jogos de fios;II;AUTOPEÇAS;73.0;
01.074.00;8707;Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas;II;AUTOPEÇAS;74.0;
01.075.00;8708;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;II;AUTOPEÇAS;75.0;
01.076.00;8714.1;Parte e acessórios de motocicletas (incluídos os ciclomotores);II;AUTOPEÇAS;76.0;
01.077.00;8716.90.90;Engates para reboques e semirreboques;II;AUTOPEÇAS;77.0;
01.078.00;9026.10;Medidores de nível; Medidores de vazão;II;AUTOPEÇAS;78.0;
01.079.00;9026.20;Aparelhos para medida ou controle da pressão;II;AUTOPEÇAS;79.0;
01.080.00;9029;Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios;II;AUTOPEÇAS;80.0;
01.081.00;9030.33.21;Amperímetros;II;AUTOPEÇAS;81.0;
01.082.00;9031.80.40;Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo);II;AUTOPEÇAS;82.0;
01.083.00;9032.89.2;Controladores eletrônicos;II;AUTOPEÇAS;83.0;
01.084.00;9104.00.00;Relógios para painéis de instrumentos e relógios semelhantes;II;AUTOPEÇAS;84.0;
01.085.00;9401.20.00 9401.90.90;Assentos e partes de assentos;II;AUTOPEÇAS;85.0;
01.086.00;9613.80.00;Acendedores;II;AUTOPEÇAS;86.0;
01.087.00;4009;Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios;II;AUTOPEÇAS;87.0;
01.088.00;4504.90.00 6812.99.10;Juntas de vedação de cortiça natural e de amianto;II;AUTOPEÇAS;88.0;
01.089.00;4823.40.00;Papel-diagrama para tacógrafo, em disco;II;AUTOPEÇAS;89.0;
01.090.00;3919.10.00 3919.90.00 8708.29.99;Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários;II;AUTOPEÇAS;90.0;
01.091.00;8412.31.10;Cilindros pneumáticos;II;AUTOPEÇAS;91.0;
01.092.00;8413.19.00 8413.50.90 8413.81.00;Bomba elétrica de lavador de para-brisa;II;AUTOPEÇAS;92.0;
01.093.00;8413.60.19 8413.70.10;Bomba de assistência de direção hidráulica;II;AUTOPEÇAS;93.0;
01.094.00;8414.59.10 8414.59.90;Motoventiladores;II;AUTOPEÇAS;94.0;
01.095.00;8421.39.90;Filtros de pólen do ar-condicionado;II;AUTOPEÇAS;95.0;
01.096.00;8501.10.19;“Máquina” de vidro elétrico de porta;II;AUTOPEÇAS;96.0;
01.097.00;8501.31.10;Motor de limpador de para-brisa;II;AUTOPEÇAS;97.0;
01.098.00;8504.50.00;Bobinas de reatância e de autoindução;II;AUTOPEÇAS;98.0;
01.099.00;8507.20 8507.30;Baterias de chumbo e de níquel-cádmio;II;AUTOPEÇAS;99.0;
01.100.00;8512.30.00;Aparelhos de sinalização acústica (buzina);II;AUTOPEÇAS;100.0;
01.101.00;9032.89.8 9032.89.9;Instrumentos para regulação de grandezas não elétricas;II;AUTOPEÇAS;101.0;
01.102.00;9027.10.00;Analisadores de gases ou de fumaça (sonda lambda);II;AUTOPEÇAS;102.0;
01.103.00;4008.11.00;Perfilados de borracha vulcanizada não endurecida;II;AUTOPEÇAS;103.0;
01.104.00;5601.22.19;Artefatos de pasta de fibra de uso automotivo;II;AUTOPEÇAS;104.0;
01.105.00;5703.20.00;Tapetes/carpetes - nailón;II;AUTOPEÇAS;105.0;
01.106.00;5703.30.00;Tapetes de matérias têxteis sintéticas;II;AUTOPEÇAS;106.0;
01.107.00;5911.90.00;Forração interior capacete;II;AUTOPEÇAS;107.0;
01.108.00;6903.90.99;Outros para-brisas;II;AUTOPEÇAS;108.0;
01.109.00;7007.29.00;Moldura com espelho;II;AUTOPEÇAS;109.0;
01.110.00;7314.50.00;REVOGADO;II;AUTOPEÇAS;110.0;
01.111.00;7315.11.00;Corrente transmissão;II;AUTOPEÇAS;111.0;
01.112.00;7315.12.10;Outras correntes de transmissão;II;AUTOPEÇAS;112.0;
01.113.00;8418.99.00;Condensador tubular metálico;II;AUTOPEÇAS;113.0;
01.114.00;8419.50;Trocadores de calor;II;AUTOPEÇAS;114.0;
01.115.00;8424.90.90;Partes de aparelhos mecânicos de pulverizar ou dispersar;II;AUTOPEÇAS;115.0;
01.116.00;8425.49.10;Macacos manuais para veículos;II;AUTOPEÇAS;116.0;
01.117.00;8431.41.00;Caçambas, pás, ganchos e tenazes para máquinas rodoviárias;II;AUTOPEÇAS;117.0;
01.118.00;8501.61.00;Geradores de corrente alternada de potência não superior a 75 kva;II;AUTOPEÇAS;118.0;
01.119.00;8531.10.90;Aparelhos elétricos para alarme de uso automotivo;II;AUTOPEÇAS;119.0;
01.120.00;9014.10.00;Bússolas;II;AUTOPEÇAS;120.0;
01.121.00;9025.19.90;Indicadores de temperatura;II;AUTOPEÇAS;121.0;
01.122.00;9025.90.10;Partes de indicadores de temperatura;II;AUTOPEÇAS;122.0;
01.123.00;9026.90;Partes de aparelhos de medida ou controle;II;AUTOPEÇAS;123.0;
01.124.00;9032.10.10;Termostatos;II;AUTOPEÇAS;124.0;
01.125.00;9032.10.90;Instrumentos e aparelhos para regulação;II;AUTOPEÇAS;125.0;
01.126.00;9032.20.00;Pressostatos;II;AUTOPEÇAS;126.0;
01.127.00;8716.90;Peças para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00;II;AUTOPEÇAS;127.0;
01.128.00;7322.90.10;Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis;II;AUTOPEÇAS;128.0;
01.999.00; ;Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo

 ;II;AUTOPEÇAS;999.0;
02.001.00;2205
2208.90.00;Aperitivos, amargos, bitter e similares;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;1.0;
02.002.00;2208.90.00;Batida e similares;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;2.0;
02.003.00;2208.90.00;Bebida ice;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;3.0;
02.004.00;2207.20
2208.40.00;Cachaça e aguardentes;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;4.0;
02.005.00;2205
2206.00.90
2208.90.00;Catuaba e similares;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;5.0;
02.006.00;2208.20.00;Conhaque, brandy e similares;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;6.0;
02.007.00;2206.00.90
2208.90.00;Cooler;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;7.0;
02.008.00;2208.50.00;Gim (gin) e genebra;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;8.0;
02.009.00;2205
2206.00.90
2208.90.00;Jurubeba e similares;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;9.0;
02.010.00;2208.70.00;Licores e similares;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;10.0;
02.011.00;2208.20.00;Pisco;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;11.0;
02.012.00;2208.40.00;Rum;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;12.0;
02.013.00;2206.00.90;Saquê;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;13.0;
02.014.00;2208.90.00;Steinhaeger;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;14.0;
02.015.00;2208.90.00;Tequila;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;15.0;
02.016.00;2208.30;Uísque;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;16.0;
02.017.00;2205;Vermute e similares;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;17.0;
02.018.00;2208.60.00;Vodka;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;18.0;
02.019.00;2208.90.00;Derivados de vodka;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;19.0;
02.020.00;2208.90.00;Arak;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;20.0;
02.021.00;2208.20.00;Aguardente vínica / grappa;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;21.0;
02.022.00;2206.00.10;Sidra e similares;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;22.0;
02.023.00;2205
2206.00.90
2208.90.00;Sangrias e coquetéis;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;23.0;
02.024.00;2204;Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas.;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;24.0;
02.999.00;2205
2206
2207
2208;Outras bebidas alcoólicas não especificadas nos itens anteriores

 ;III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;999.0;
03.001.00;2201.10.00;REVOGADO;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;1.0;CV 150/20
03.002.00;2201.10.00;REVOGADO;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;2.0;CV 150/20
03.003.00;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro descartável;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;3.0;CV 150/20
03.003.01;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em embalagem de vidro descartável;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;3.1;CV 150/20
03.004.00;2201.10.00;REVOGADO;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;4.0;CV 150/20
03.005.00;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em copo plástico descartável;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;5.0;CV 150/20
03.005.01;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em copo plástico descartável;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;5.1;CV 150/20
03.005.02;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em jarra descartável;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;5.2;CV 150/20
03.005.03;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em jarra descartável;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;5.3;CV 150/20
03.005.04;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em demais embalagens descartáveis;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;5.4;CV 150/20
03.005.05;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em demais embalagens descartáveis;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;5.5;CV 150/20
03.006.00;2201.10.00;Outras águas minerais, gasosa ou não, ou potável, naturais; exceto as classificadas no CEST 03.003.00, 03.003.01, 03.005.00, 03.005.01 a 03.005.05, 03.024.00 e 03.025.00;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;6.0;CV 150/20
03.007.00;2202.10.00;Água aromatizada artificialmente, exceto os refrescos e refrigerantes;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;7.0;CV 150/20
03.008.00;2202.99.00;Outras águas minerais, gasosa ou não, ou potável, naturais, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;8.0;CV 150/20
03.010.00;2202.10.00 2202.99.00;Refrigerante em vidro descartável;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;10.0;CV 150/20
03.010.01;2202.10.00 2202.99.00 ;Refrigerante em embalagem pet;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;10.1;CV 150/20
03.010.02;2202.10.00 2202.99.00;Refrigerante em lata;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;10.2;CV 150/20
03.010.03;2202.10.00 2202.99.00;REVOGADO;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;10.3;CV 74/21
03.011.00;2202.10.00 2202.99.00;Demais refrigerantes, exceto os classificados no CEST 03.010.00, 03.010.01, 03.010.02 e 03.011.01;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;11.0;CV 74/21
03.011.01;2202;Espumantes sem álcool;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;11.1;
03.012.00;2106.90.10;Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina “pré-mix” ou “post-mix”, exceto o classificado no CEST 03.012.01;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;12.0;CV 74/21
03.012.01;2106.90.10;Cápsula de refrigerante;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;12.1;CV 74/21
03.013.00;2106.90
2202.99.00;Bebidas energéticas em lata;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;13.0;CV 150/20
03.013.01;2106.90 2202.99.00;Bebidas energéticas em embalagem PET;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;13.1;CV 150/20
03.013.02;2106.90 2202.99.00;Bebidas energéticas em vidro;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;13.2;CV 150/20
03.014.00;2106.90
2202.99.00;REVOGADO;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;14.0;CV 150/20
03.015.00;2106.90
2202.99.00;Bebidas hidroeletrolíticas;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;15.0;CV 150/20
03.016.00;2106.90
2202.99.00;REVOGADO;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;16.0;CV 150/20
03.021.00;2203.00.00;Cerveja em garrafa de vidro retornável;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;21.0;CV 150/20
03.021.01;2203.00.00;Cerveja em garrafa de vidro descartável;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;21.1;CV 150/20
03.021.02;2203.00.00;Cerveja em garrafa de alumínio;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;21.2;CV 150/20
03.021.03;2203.00.00;Cerveja em lata;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;21.3;CV 150/20
03.021.04;2203.00.00;Cerveja em barril;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;21.4;CV 150/20
03.021.05;2203.00.00;Cerveja em embalagem PET;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;21.5;CV 74/21
03.021.06;2203.00.00;Cerveja em outras embalagens;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;21.6;CV 74/21
03.022.00;2202.91.00;Cerveja sem álcool em garrafa de vidro retornável;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;22.0;CV 150/20
03.022.01;2202.91.00;Cerveja sem álcool em garrafa de vidro descartável;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;22.1;CV 150/20
03.022.02;2202.91.00;Cerveja sem álcool em garrafa de alumínio;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;22.2;CV 150/20
03.022.03;2202.91.00;Cerveja sem álcool em lata;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;22.3;CV 150/20
03.022.04;2202.91.00;Cerveja sem álcool em barril;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;22.4;CV 150/20
03.022.05;2202.91.00;Cerveja sem álcool em embalagem PET;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;22.5;CV 74/21
03.022.06;2202.91.00;Cerveja sem álcool em outras embalagens;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;22.6;CV 74/21
03.023.00;2203.00.00;Chope;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;23.0;
