codigo;descricao;inicio;fim;ato;numero;ano
0204.21.00;-- Carcaças e meias-carcaças;01/01/2017;31/03/2022;Res Camex;000125;2016
0204.22.00;-- Outras peças não desossadas;01/01/2017;31/03/2022;Res Camex;000125;2016
0204.23.00;-- Desossadas;01/01/2017;31/03/2022;Res Camex;000125;2016
0204.30.00;- Carcaças e meias-carcaças de cordeiro, congeladas;01/01/2017;31/03/2022;Res Camex;000125;2016
0204.4;- Outras carnes de animais da espécie ovina, congeladas:;01/01/2017;31/03/2022;Res Camex;000125;2016
0204.41.00;-- Carcaças e meias-carcaças;01/01/2017;31/03/2022;Res Camex;000125;2016
0204.42.00;-- Outras peças não desossadas;01/01/2017;31/03/2022;Res Camex;000125;2016
0204.43.00;-- Desossadas;01/01/2017;31/03/2022;Res Camex;000125;2016
0204.50.00;- Carnes de animais da espécie caprina;01/01/2017;31/03/2022;Res Camex;000125;2016
0205.00.00;Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.;01/01/2017;31/03/2022;Res Camex;000125;2016
02.06;Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.10.00;- Da espécie bovina, frescas ou refrigeradas;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.2;- Da espécie bovina, congeladas:;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.21.00;-- Línguas;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.22.00;-- Fígados;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.29;-- Outras;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.29.10;Rabos;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.29.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.30.00;- Da espécie suína, frescas ou refrigeradas;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.4;- Da espécie suína, congeladas:;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.41.00;-- Fígados;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.49.00;-- Outras;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.80.00;- Outras, frescas ou refrigeradas;01/01/2017;31/03/2022;Res Camex;000125;2016
0206.90.00;- Outras, congeladas;01/01/2017;31/03/2022;Res Camex;000125;2016
02.07;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.1;- De aves da espécie Gallus domesticus:;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.11.00;-- Não cortadas em pedaços, frescas ou refrigeradas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.12.00;-- Não cortadas em pedaços, congeladas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.13.00;-- Pedaços e miudezas, frescos ou refrigerados;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.14.00;-- Pedaços e miudezas, congelados;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.2;- De peruas e de perus:;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.24.00;-- Não cortadas em pedaços, frescas ou refrigeradas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.25.00;-- Não cortadas em pedaços, congeladas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.26.00;-- Pedaços e miudezas, frescos ou refrigerados;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.27.00;-- Pedaços e miudezas, congelados;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.4;- De patos:;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.41.00;-- Não cortadas em pedaços, frescas ou refrigeradas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.42.00;-- Não cortadas em pedaços, congeladas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.43.00;-- Fígados gordos (foies gras), frescos ou refrigerados;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.44.00;-- Outras, frescas ou refrigeradas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.45.00;-- Outras, congeladas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.5;- De gansos:;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.51.00;-- Não cortadas em pedaços, frescas ou refrigeradas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.52.00;-- Não cortadas em pedaços, congeladas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.53.00;-- Fígados gordos (foies gras), frescos ou refrigerados;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.54.00;-- Outras, frescas ou refrigeradas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.55.00;-- Outras, congeladas;01/01/2017;31/03/2022;Res Camex;000125;2016
0207.60.00;- De galinhas-d'angola (pintadas);01/01/2017;31/03/2022;Res Camex;000125;2016
02.08;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.;01/01/2017;31/03/2022;Res Camex;000125;2016
0208.10.00;- De coelhos ou lebres;01/01/2017;31/03/2022;Res Camex;000125;2016
0208.30.00;- De primatas;01/01/2017;31/03/2022;Res Camex;000125;2016
0208.40.00;- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia);01/01/2017;31/03/2022;Res Camex;000125;2016
0208.50.00;- De répteis (incluindo as serpentes e as tartarugas marinhas);01/01/2017;31/03/2022;Res Camex;000125;2016
0208.60.00;- De camelos e outros camelídeos (Camelidae);01/01/2017;31/03/2022;Res Camex;000125;2016
0208.90.00;- Outras;01/01/2017;31/03/2022;Res Camex;000125;2016
02.09;Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados).;01/01/2017;31/03/2022;Res Camex;000125;2016
0209.10;- De porco;01/01/2017;31/03/2022;Res Camex;000125;2016
0209.10.1;Toucinho;01/01/2017;31/03/2022;Res Camex;000125;2016
0209.10.11;Fresco, refrigerado ou congelado;01/01/2017;31/03/2022;Res Camex;000125;2016
0209.10.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0209.10.2;Gordura;01/01/2017;31/03/2022;Res Camex;000125;2016
0209.10.21;Fresca, refrigerada ou congelada;01/01/2017;31/03/2022;Res Camex;000125;2016
0209.10.29;Outras;01/01/2017;31/03/2022;Res Camex;000125;2016
0209.90.00;- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
02.10;Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas (fumadas); farinhas e pós, comestíveis, de carnes ou de miudezas.;01/01/2017;31/03/2022;Res Camex;000125;2016
0210.1;- Carnes da espécie suína:;01/01/2017;31/03/2022;Res Camex;000125;2016
0210.11.00;-- Pernas, pás e respectivos pedaços, não desossados;01/01/2017;31/03/2022;Res Camex;000125;2016
0210.12.00;-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços;01/01/2017;31/03/2022;Res Camex;000125;2016
0210.19.00;-- Outras;01/01/2017;31/03/2022;Res Camex;000125;2016
0210.20.00;- Carnes da espécie bovina;01/01/2017;31/03/2022;Res Camex;000125;2016
0210.9;- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas:;01/01/2017;31/03/2022;Res Camex;000125;2016
0210.91.00;-- De primatas;01/01/2017;31/03/2022;Res Camex;000125;2016
0210.92.00;-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia);01/01/2017;31/03/2022;Res Camex;000125;2016
0210.93.00;-- De répteis (incluindo as serpentes e as tartarugas marinhas);01/01/2017;31/03/2022;Res Camex;000125;2016
0210.99;-- Outras;01/07/2018;31/03/2022;Res Camex;000011;2018
0210.99.1;Carnes de aves da posição 01.05;01/07/2018;31/03/2022;Res Camex;000011;2018
0210.99.11;De galos e de galinhas;01/07/2018;31/03/2022;Res Camex;000011;2018
0210.99.19;Outras;01/07/2018;31/03/2022;Res Camex;000011;2018
0210.99.20;Carnes da espécie ovina;01/07/2018;31/03/2022;Res Camex;000011;2018
0210.99.30;Carnes da espécie cavalar;01/07/2018;31/03/2022;Res Camex;000011;2018
0210.99.40;Miudezas comestíveis;01/07/2018;31/03/2022;Res Camex;000011;2018
0210.99.90;Outras;01/07/2018;31/03/2022;Res Camex;000011;2018
03;Peixes e crustáceos, moluscos e outros invertebrados aquáticos.;01/01/2017;31/03/2022;Res Camex;000125;2016
03.01;Peixes vivos.;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.1;- Peixes ornamentais:;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.11;-- De água doce;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.11.10;Aruanã (Osteoglossum bicirrhosum);01/01/2017;31/03/2022;Res Camex;000125;2016
0301.11.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.19.00;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.9;- Outros peixes vivos:;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.91;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);01/01/2017;31/03/2022;Res Camex;000125;2016
0301.91.10;Para reprodução;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.91.90;Outras;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.92;-- Enguias (Anguilla spp.);01/01/2017;31/03/2022;Res Camex;000125;2016
0301.92.10;Para reprodução;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.92.90;Outras;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.93;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.);01/01/2017;31/03/2022;Res Camex;000125;2016
0301.93.10;Para reprodução;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.93.90;Outras;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.94;-- Atuns-azuis (Atuns*) (Thunnus thynnus, Thunnus orientalis);01/01/2017;31/03/2022;Res Camex;000125;2016
0301.94.10;Para reprodução;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.94.90;Outras;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.95;-- Atum-azul do sul (Atum*) (Thunnus maccoyii);01/01/2017;31/03/2022;Res Camex;000125;2016
0301.95.10;Para reprodução;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.95.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.99;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.99.1;Para reprodução;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.99.11;Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos);01/01/2017;31/03/2022;Res Camex;000125;2016
0301.99.12;Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus);01/01/2017;31/03/2022;Res Camex;000125;2016
0301.99.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.99.9;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0301.99.91;Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos);01/01/2017;31/03/2022;Res Camex;000125;2016
0301.99.92;Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus);01/01/2017;31/03/2022;Res Camex;000125;2016
0301.99.99;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
03.02;Peixes frescos ou refrigerados, exceto os filés (filetes*) de peixes e outra carne de peixes da posição 03.04.;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.1;- Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.11.00;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.13.00;-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.14.00;-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.19.00;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.2;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.21.00;-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.22.00;-- Solha (Pleuronectes platessa);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.23.00;-- Linguados (Solea spp.);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.24.00;-- Pregado (Psetta maxima);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.29.00;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.3;- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Euthynnus (Katsuwonus) pelamis), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.31.00;-- Albacora-branca (Atum*) (Thunnus alalunga);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.32.00;-- Albacora-laje (Atum*) (Thunnus albacares);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.33.00;-- Bonito-listrado (Gaiado*);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.34.00;-- Albacora-bandolim (Atum*) (Thunnus obesus);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.35.00;-- Atuns-azuis (Atuns*) (Thunnus thynnus, Thunnus orientalis);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.36.00;-- Atum-azul do sul (Atum*) (Thunnus maccoyii);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.39.00;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.4;- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-índico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.41.00;-- Arenques (Clupea harengus, Clupea pallasii);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.42;-- Anchovas (Biqueirões*) (Engraulis spp.);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.42.10;Anchoita (Engraulis anchoita);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.42.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.43.00;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.44.00;-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.45.00;-- Carapaus (Trachurus spp.);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.46.00;-- Bijupirá (Cobia*) (Rachycentron canadum);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.47.00;-- Espadarte (Xiphias gladius);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.49;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.49.10;Espadins, marlins, veleiros (Istiophoridae);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.49.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.5;- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:;01/01/2017;31/03/2022;Res Camex;000125;2016
0302.51.00;-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.52.00;-- Haddock ou lubina (Arinca*) (Melanogrammus aeglefinus);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.53.00;-- Saithe (Escamudo*) (Pollachius virens);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.54.00;-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.55.00;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.56.00;-- Verdinhos (Micromesistius poutassou, Micromesistius australis);01/01/2017;31/03/2022;Res Camex;000125;2016
0302.59.00;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
